X,Y,WIDTH,HEIGHT
115,120,4,4
230,120,4,4
115,210,4,4
230,210,4,4
115,350,4,4
230,350,4,4
115,490,4,4
230,490,4,4
115,620,4,4
230,620,4,4
115,750,4,4
230,750,4,4
115,850,4,4
230,850,4,4
115,950,4,4
230,950,4,4
115,1070,4,4
230,1070,4,4
115,1190,4,4
230,1190,4,4
115,1310,4,4
230,1310,4,4
115,1450,4,4
230,1450,4,4
115,1550,4,4
230,1550,4,4
115,1650,4,4
230,1650,4,4
230,1750,4,4

0,0,50,30
300,0,50,30
0,30,20,20
330,30,20,20
0,140,20,20
330,140,20,20
0,210,30,30
330,330,20,20
15,750,50,200
65,750,50,200
0,870,30,30
0,1000,20,100
340,1400,10,10
320,1480,30,120
0,1650,150,150

250,250,100,500
